ano_base,uf,ocupacao_principal,qtde_contribuintes,rendimento_tributavel_total,rend_sujeitos_a_tribut_exclusiva,rend_isentos_e_nao_tributaveis,imposto_devido_total,imposto_pago,rend_total,rend_total_por_contrib,pct_isento,pct_tributavel,pct_exclusiva,aliq_efetiva_devida,aliq_efetiva_paga
2020,Acre,"Dirigente, pres,, diretor emp, indust,, com, ou prest, serv,",4616.0,14124000000.0,1637000000.0,23297000000.0,1207000000.0,753000000.0,39058000000.0,8461438.474870017,0.5964719135644426,0.36161605816990117,0.0419120282656562,0.030902759997951765,0.019279020943212658
2020,Acre,"Economista, administrador, contador, auditor e afins",696.0,5621000000.0,456000000.0,1175000000.0,656000000.0,685000000.0,7252000000.0,10419540.229885057,0.1620242691671263,0.775096525096525,0.06287920573634859,0.09045780474351903,0.09445670159955874
2020,Acre,Empresário e produtor de espetáculos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020,Acre,"Enfermeiro nível sup,, nutricionista, farmacêutico e afins",1533.0,13283000000.0,81000000.0,542000000.0,1567000000.0,1537000000.0,13906000000.0,9071102.413568167,0.03897598159068028,0.9551991945922623,0.005824823817057385,0.1126851718682583,0.1105278297137926
2020,Acre,"Engenheiro, arquiteto e afins",901.0,993000000.0,874000000.0,1412000000.0,1391000000.0,1496000000.0,3279000000.0,3639289.6781354053,0.4306190911863373,0.302836230558097,0.2665446782555657,0.42421469960353764,0.45623665751753584
2020,Acre,"Escritor, crítico, redator",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020,Acre,Filósofo,11.0,104000000.0,6000000.0,1000000.0,11000000.0,12000000.0,111000000.0,10090909.090909092,0.009009009009009009,0.9369369369369369,0.05405405405405406,0.0990990990990991,0.10810810810810811
2020,Acre,"Fonoaudiólogo, fisioterapeuta, terapeuta ocupacional e afins",253.0,1942000000.0,104000000.0,321000000.0,218000000.0,208000000.0,2367000000.0,9355731.225296443,0.13561470215462612,0.8204478242501057,0.04393747359526827,0.09209970426700465,0.08787494719053654
2020,Acre,"Físico, químico, meteorolog,, geólogo, oceanógrafo e afins",41.0,436000000.0,27000000.0,43000000.0,55000000.0,59000000.0,506000000.0,12341463.414634146,0.08498023715415019,0.8616600790513834,0.0533596837944664,0.10869565217391304,0.116600790513834
2020,Acre,"Gerente ou superv, empresa indust,, comerc, ou prest, serv,",1061.0,5299000000.0,502000000.0,2271000000.0,456000000.0,477000000.0,8072000000.0,7607917.059377945,0.28134291377601583,0.6564667988107037,0.062190287413280476,0.05649157581764123,0.05909316154608523
2020,Acre,"Gerente ou superv, empresa pública e soc, de economia mista",217.0,2165000000.0,279000000.0,191000000.0,284000000.0,299000000.0,2635000000.0,12142857.142857144,0.07248576850094876,0.8216318785578748,0.10588235294117647,0.10777988614800758,0.11347248576850096
2020,Acre,Geógrafo,49.0,602000000.0,41000000.0,83000000.0,8000000.0,84000000.0,726000000.0,14816326.530612245,0.11432506887052342,0.8292011019283747,0.05647382920110193,0.011019283746556474,0.11570247933884298
2020,Acre,Historiador,36.0,379000000.0,22000000.0,6000000.0,49000000.0,51000000.0,407000000.0,11305555.555555556,0.014742014742014743,0.9312039312039312,0.05405405405405406,0.12039312039312039,0.12530712530712532
2020,Acre,Instrutor e professor de escolas livres,48.0,256000000.0,17000000.0,8000000.0,21000000.0,21000000.0,281000000.0,5854166.666666667,0.028469750889679714,0.9110320284697508,0.060498220640569395,0.07473309608540925,0.07473309608540925
2020,Acre,"Joalheiro, vidreiro, ceramista e afins",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020,Acre,Jornalista e repórter,121.0,7000000.0,45000000.0,75000000.0,59000000.0,67000000.0,127000000.0,1049586.7768595042,0.5905511811023622,0.05511811023622047,0.3543307086614173,0.4645669291338583,0.5275590551181102
2020,Acre,"Locutor, comentarista",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020,Acre,"Matemático, estatístico, atuário e afins",66.0,499000000.0,38000000.0,38000000.0,46000000.0,5000000.0,575000000.0,8712121.212121213,0.06608695652173913,0.8678260869565217,0.06608695652173913,0.08,0.008695652173913044
2020,Acre,Membro do Ministério Público (Procurador e Promotor),90.0,4504000000.0,1568000000.0,1125000000.0,893000000.0,943000000.0,7197000000.0,79966666.66666667,0.1563151313047103,0.625816312352369,0.21786855634292066,0.12407947756009448,0.13102681672919272
2020,Acre,Membro do Poder Executivo,37.0,503000000.0,18000000.0,533000000.0,83000000.0,89000000.0,1054000000.0,28486486.486486487,0.5056925996204934,0.47722960151802657,0.017077798861480076,0.07874762808349146,0.08444022770398482
2020,Acre,Membro do Poder Judiciário e de Tribunal de Contas,89.0,4319000000.0,366000000.0,1261000000.0,868000000.0,889000000.0,5946000000.0,66808988.76404494,0.212075344769593,0.7263706693575513,0.0615539858728557,0.14598049108644467,0.14951227716111673
2020,Acre,Membro do Poder Legislativo,181.0,2119000000.0,126000000.0,43000000.0,31000000.0,315000000.0,2288000000.0,12640883.977900552,0.018793706293706292,0.9261363636363636,0.05506993006993007,0.013548951048951048,0.13767482517482518
